,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Is there a course with this certification?,Category,Activity,Support Group,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Certification Fee,Conference Fee,Course Fee,Vendor Charge
1526,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TDL Analyst Apprentice Approval Group,Current project/role,,0.5,No,0.0,0,0.0,0
1527,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TDL Analyst Apprentice Approval Group,Current project/role,,0.3,No,0.0,0,0.0,0
1528,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,10,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Global Knowledge,,,,,,Cloud,Openshift,TAS TDL Analyst Apprentice Approval Group,Current project/role,,24.0,No,0.0,0,0.0,0
1529,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,,,,,New,Salesforce Certified Administrator,Yes,SalesForce,Salesforce Admin,TAS TDL Analyst Apprentice Approval Group,Current project/role,,40.0,No,0.0,0,0.0,0
1530,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,SkillSoft,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Emerging Technology Approval Group,Career growth,,2.0,No,0.0,0,0.0,0
1531,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Emerging Technology Approval Group,Accenture curriculum,,1.5,No,0.0,0,0.0,0
1532,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.006,TC Microsoft,Microsoft,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TC Microsoft Approval Group,Other,,0.0,No,0.0,0,0.0,0
1533,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TC SAP Approval Group,Other,,0.0,No,0.0,0,0.0,0
1534,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,New,,,No hours,Pluralsight,TAS TC SAP Approval Group,Other,,0.0,No,0.0,0,0.0,0
1535,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,10,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Virtual,,,,,New,PluralSight license,No,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1536,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,7,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1537,TAS,Philadelphia GS 2005 Market,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,10,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1538,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,7,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,No,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1539,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,8,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1540,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,New,,,No hours,Pluralsight,TAS TDL Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
1541,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Virtual,,,,,New,PluralSight License,No,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Accenture curriculum,,0.0,No,0.0,0,0.0,0
1542,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Virtual,,,,,New,PluralSight license,No,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1543,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1544,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1545,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,New,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1546,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1547,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1548,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,No,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1549,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,No hours,Pluralsight,TAS TDL Analyst Apprentice Approval Group,Other,,0.0,No,0.0,0,0.0,0
1550,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Virtual,,,,,New,SAP SuccessFactors - Recruiting Management PTO,Yes,ServiceNow,SAP Success Factors,TAS TDL Analyst Apprentice Approval Group,Current project/role,,96.0,No,0.0,0,0.0,0
1551,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Current project/role,,2.0,,0.0,0,0.0,0
1552,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Career growth,,1.5,No,0.0,0,0.0,0
1553,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,ServiceNow,,,New,ServiceNow System Administration,No,Cert exam,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Other,,24.0,No,2095.0,0,0.0,0
1554,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,ServiceNow,,,New,ServiceNow System Administration,Yes,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Current project/role,,24.0,No,150.0,0,2095.0,0
1555,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,ServiceNow,,,New,ServiceNow system administrator,Yes,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Current project/role,,24.0,No,150.0,0,2095.0,0
1556,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,9,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Oracle University,,,,,,Oracle,HRMS,TAS TDSADC Oracle Approval Group,Other,,16.0,No,0.0,0,1710.0,0
1557,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,7,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Oracle,,,,,,Oracle,HRMS,TAS TDSADC Oracle Approval Group,Other,,16.0,No,0.0,0,1710.0,0
1558,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Oracle,,,,,,Oracle,HRMS,TAS TDSADC Oracle Approval Group,Career growth,,16.0,No,0.0,0,1710.0,0
1559,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,"Arlington, VA",SAS,,,,,,Analytics/Big Data,SAS,TAS TDL Analyst Apprentice Approval Group,Current project/role,,3.0,Yes,0.0,0,0.0,0
1560,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Global Knowledge,,,,,,Cloud,Openshift,TAS TDL Analyst Apprentice Approval Group,Upcoming project/role,,24.0,No,0.0,0,0.0,0
1561,TAS,Charlotte GS 201 South College,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Accenture curriculum,,1.0,No,0.0,0,0.0,0
1562,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Career growth,,2.0,No,0.0,0,0.0,0
1563,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Custom Development,Scala,TAS TDL Analyst Apprentice Approval Group,Current project/role,,33.5,No,0.0,0,0.0,0
1564,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,"SAP America, Inc.",,,,,,SAP,SAP Learning Hub,TAS TDL Analyst Apprentice Approval Group,Current project/role,,1.0,No,0.0,0,0.0,0
1565,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,No,SAP,SAP Learning Hub,TAS TDL Analyst Apprentice Approval Group,Current project/role,,57.25,No,0.0,0,0.0,0
1566,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,SAP,SAP Learning Hub,TAS TDL Analyst Apprentice Approval Group,Current project/role,,25.0,No,0.0,0,0.0,0
1567,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,SAP,SAP Learning Hub,TAS TDL Analyst Apprentice Approval Group,Current project/role,,25.0,No,0.0,0,0.0,0
1568,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,SAP,SAP Learning Hub,TAS TDL Analyst Apprentice Approval Group,Current project/role,,25.0,No,0.0,0,0.0,0
1569,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ServiceNow,SNOW Scripting and Adv Admin,TAS TDL Analyst Apprentice Approval Group,Current project/role,,40.0,No,0.0,0,0.0,0
1570,TAS,Charlotte GS 201 South College,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Accenture curriculum,,1.0,No,0.0,0,0.0,0
1571,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Other,,24.0,No,0.0,0,0.0,0
1572,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,ServiceNow,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Other,,24.0,No,0.0,0,2095.0,0
1573,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,ServiceNow,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Other,,24.0,No,0.0,0,2095.0,0
1574,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Career growth,,24.0,No,0.0,0,0.0,0
1575,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Career growth,,24.0,No,0.0,0,0.0,0
1576,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Career growth,,24.0,No,0.0,0,0.0,0
1577,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,ServiceNow,,,New,,,ServiceNow,SNOW Sys Admin,TAS TDL Analyst Apprentice Approval Group,Upcoming project/role,,24.0,No,0.0,0,2095.0,0
1578,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Pega Vendor,,,,,,Custom Development,Pega System Architect,TAS TDL Analyst Apprentice Approval Group,Upcoming project/role,,40.0,No,0.0,0,0.0,0
1579,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Analytics/Big Data,Tableau,TAS TDL Analyst Apprentice Approval Group,Current project/role,,16.0,No,0.0,0,0.0,0
1580,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Analytics/Big Data,Tableau,TAS TDL Analyst Apprentice Approval Group,Upcoming project/role,,16.0,No,0.0,0,0.0,0
1581,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Custom Development,Scala,TAS TDL Analyst Apprentice Approval Group,Current project/role,,35.0,No,0.0,0,0.0,0
1582,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Custom Development,Scala,TAS TDL Analyst Apprentice Approval Group,Upcoming project/role,,33.5,No,0.0,0,0.0,0
1583,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Custom Development,Scala,TAS TDL Analyst Apprentice Approval Group,Current project/role,,33.5,No,0.0,0,0.0,0
1584,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,Interviewer training,TAS TC Industry Approval Group,Accenture curriculum,,1.5,No,0.0,0,0.0,0
1585,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,7,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,Contract direct - acct specific CDP,TAS TC Industry Approval Group,Current project/role,,4.0,No,0.0,0,0.0,0
1586,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,ANICLE,,,,,,Industry,uPerform (eLearning),TAS TDL Analyst Apprentice Approval Group,Current project/role,,40.0,No,0.0,0,0.0,0
1587,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,global knowledge,,,,,,Cloud,Openshift,TAS TDL Analyst Apprentice Approval Group,Current project/role,,24.0,No,0.0,0,0.0,0
1588,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,10,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Global Knowledge,,,,,,Cloud,Openshift,TAS TDL Analyst Apprentice Approval Group,Current project/role,,24.0,No,0.0,0,0.0,0
1589,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.012,TDL Digital,Digital,TDL,9,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Fjord Service Design Academy,TAS TDL Digital Approval Group,Other,,24.0,No,0.0,0,0.0,0
1590,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Industry Approval Group,Other,,1.0,No,0.0,0,0.0,0
1591,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,8,TD,Technology Delivery,Conference  -  Technology Delivery  -  Accenture,Conference,Accenture,,,,A36021-001 Artificial Intelligence Developer Hackathon,,,,,AI,AI Hackathon,TAS TDL Emerging Technology Approval Group,Career growth,0.0,16.0,No,0.0,0,0.0,0
1592,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,9,TD,Technology Delivery,Conference  -  Technology Delivery  -  Accenture,Conference,Accenture,,,,A36021-001 Artificial Intelligence Developer Hackathon,,,,,AI,AI Hackathon,TAS TDL Emerging Technology Approval Group,Current project/role,0.0,16.0,No,0.0,0,0.0,0
1593,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,6,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,,,,,New,ICAgile Certified Professional - Business Value Analysis (ICP-BVA),Yes,Agile,Agile Product Owner (Business Value Analysis),TAS TDL Emerging Technology Approval Group,Career growth,,16.0,No,0.0,0,0.0,0
1594,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,7,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Analytics/Big Data,AIP,TAS TDL Emerging Technology Approval Group,Current project/role,,8.5,No,0.0,0,0.0,0
1595,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.007,TC Oracle,Oracle,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Skillsoft,,,,,,Should not have been approved,Low hours - do on own time,TAS TC Oracle Approval Group,Career growth,,3.1,No,0.0,0,0.0,0
1596,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.009,TC Infrastructure,Infrastructure,TC,6,TC,Technology Consulting,Conference  -  Technology Consulting  -  Vendor,Conference,Vendor,,Las Vegas,NetApp,NetApp Insight-Las Vegas,,,,,Infrastructure,Conf - NetApp Insight-Las Vegas - Not on approved list,TAS TC Infrastructure Approval Group,Current project/role,50.0,32.0,Yes,0.0,1950,0.0,0
1597,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,6,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,,,,,New,IC Agile Certified Professional - Agile Project Management (ICP - APM),Yes,Agile,Agile Proj Mgmt,TAS TDL Emerging Technology Approval Group,Career growth,,16.0,No,0.0,0,0.0,0
1598,TAS,Camden AFS 200 Federal,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,9,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,USA - Chantilly VA Accenture Office,,,,New,Agile Way Fundamentals,Yes,Agile,AWF (Agile Way Fundamentals),TAS TDL Emerging Technology Approval Group,Current project/role,,24.0,Yes,0.0,0,0.0,0
1599,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,6,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,,,,,New,ICAgile,Yes,Agile,AWF (Agile Way Fundamentals),TAS TDL Emerging Technology Approval Group,Current project/role,,24.0,No,0.0,0,0.0,0
1600,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,9,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Classroom,,,,,New,ICagile Certified Professional,Yes,Agile,AWF (Agile Way Fundamentals),TAS TDL Emerging Technology Approval Group,Career growth,,24.0,No,0.0,0,0.0,0
